input_size,trial,comparisons,swaps,time_ns
100,1,0,0,314100
100,2,0,0,236200
100,3,0,0,486000
100,4,0,0,169000
100,5,0,0,183800
500,1,0,0,4272200
500,2,0,0,1206800
500,3,0,0,1041700
500,4,0,0,1008700
500,5,0,0,1048600
1000,1,0,0,3220000
1000,2,0,0,466200
1000,3,0,0,646000
1000,4,0,0,849600
1000,5,0,0,638500
5000,1,0,0,9875400
5000,2,0,0,5769500
5000,3,0,0,5780200
5000,4,0,0,4567500
5000,5,0,0,5189100
10000,1,0,0,22392300
10000,2,0,0,24234700
10000,3,0,0,21474300
10000,4,0,0,21128000
10000,5,0,0,23891900
